TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

H_20_0.4 : 3.09
H_30_0.9 : 3.11
H_20_0.3 : 3.12
V_15_0.3 : 3.12
V_25_0.9 : 3.15
H_20_0.6 : 3.19
H_25_0.8 : 3.27
V_20_0.9 : 3.3
H_15_0.5 : 3.4
H_20_0.5 : 3.43
V_15_0.5 : 3.44
H_15_0.7 : 3.46
H_15_0.3 : 3.51
H_20_0.8 : 3.51
H_15_0.8 : 3.52
H_20_0.7 : 3.54
H_5_0.3 : 3.55
H_10_0.5 : 3.55
H_5_0.5 : 3.55
V_15_0.6 : 3.55
H_10_0.2 : 3.55
H_5_0.4 : 3.55
H_5_0.2 : 3.55
H_15_0.2 : 3.56
H_15_0.9 : 3.57
V_15_0.8 : 3.57
H_15_0.6 : 3.58
H_20_0.9 : 3.58
H_10_0.4 : 3.59
V_15_0.7 : 3.62
H_10_0.9 : 3.62
H_5_0.7 : 3.65
H_5_0.6 : 3.65
H_10_0.6 : 3.67
H_15_0.4 : 3.67
H_5_0.8 : 3.68
H_5_0.9 : 3.68
H_10_0.3 : 3.72
H_10_0.8 : 3.77
V_10_0.2 : 3.78
H_10_0.7 : 3.82
V_10_0.4 : 3.91
V_10_0.3 : 3.98
V_15_0.9 : 4.02
V_10_0.5 : 4.06
V_10_0.6 : 4.25
V_10_0.8 : 4.34
V_10_0.9 : 4.48
V_5_0.7 : 4.58
V_5_0.6 : 4.58
V_5_0.3 : 4.73
V_5_0.2 : 4.73
V_10_0.7 : 4.74
V_5_0.5 : 4.75
V_5_0.4 : 4.75
V_5_0.9 : 4.83
V_5_0.8 : 4.83

 
Listes des temps moyens pour les gap zéro: 

V_200_0.6 : 0.1075
V_245_0.7 : 0.1254
V_245_0.8 : 0.1258
V_245_0.6 : 0.1262
V_245_0.9 : 0.1267
V_200_0.4 : 0.1274
V_245_0.5 : 0.1332
V_240_0.6 : 0.1343
V_150_0.4 : 0.1411
V_240_0.5 : 0.1419
V_245_0.4 : 0.1426
V_195_0.4 : 0.1462
V_240_0.4 : 0.1558
V_155_0.3 : 0.1564
V_245_0.3 : 0.1655
V_240_0.3 : 0.1707
V_200_0.2 : 0.1746
V_200_0.3 : 0.1789
V_175_0.4 : 0.1906
V_205_0.2 : 0.1959
V_165_0.2 : 0.2063
V_205_0.3 : 0.2161
H_250_0.3 : 0.2168
V_190_0.3 : 0.2187
H_245_0.2 : 0.224
V_215_0.3 : 0.2305
V_220_0.3 : 0.2424
V_225_0.3 : 0.256
V_250_0.9 : 0.2626
V_250_0.7 : 0.2629
V_250_0.8 : 0.2648
V_250_0.6 : 0.2651
V_250_0.4 : 0.2652
H_235_0.2 : 0.2664
V_250_0.5 : 0.267
V_210_0.3 : 0.2705
H_250_0.2 : 0.2794
V_195_0.3 : 0.2825
V_250_0.3 : 0.2841
V_220_0.2 : 0.2948
V_210_0.2 : 0.2953
V_215_0.2 : 0.3
V_235_0.2 : 0.3029
V_225_0.2 : 0.3076
V_230_0.2 : 0.3099
V_240_0.2 : 0.3131
V_245_0.2 : 0.3407
V_250_0.2 : 0.3778
H_255_0.3 : 0.3866
H_255_0.4 : 0.3869
V_255_0.3 : 0.3873
H_255_0.9 : 0.3876
H_255_0.2 : 0.3876
V_255_0.6 : 0.3878
H_255_0.8 : 0.3878
V_255_0.8 : 0.3883
H_255_0.6 : 0.3884
H_255_0.7 : 0.3885
V_255_0.7 : 0.3886
V_255_0.9 : 0.3894
V_255_0.5 : 0.3897
H_255_0.5 : 0.3898
V_255_0.2 : 0.3905
V_255_0.4 : 0.3905

 
Listes des temps moyens de chaque valeur: 

V_75_0.9 : 0.0598
V_70_0.9 : 0.0643
V_90_0.9 : 0.0664
V_80_0.9 : 0.0671
H_65_0.9 : 0.0671
V_50_0.9 : 0.0675
H_55_0.9 : 0.0681
V_75_0.8 : 0.0683
H_160_0.9 : 0.0688
V_85_0.9 : 0.0688
V_85_0.8 : 0.0691
V_160_0.9 : 0.0696
V_150_0.9 : 0.0705
H_45_0.9 : 0.071
H_105_0.9 : 0.0713
H_50_0.9 : 0.0714
H_100_0.9 : 0.0715
V_100_0.9 : 0.0717
H_125_0.9 : 0.0719
V_145_0.9 : 0.0724
H_35_0.9 : 0.0725
V_80_0.8 : 0.0727
V_60_0.9 : 0.0729
H_120_0.9 : 0.0729
H_40_0.9 : 0.073
V_145_0.8 : 0.0733
H_85_0.9 : 0.0735
V_50_0.8 : 0.0738
H_165_0.9 : 0.0741
H_115_0.9 : 0.0745
V_40_0.9 : 0.0745
V_155_0.8 : 0.0746
H_70_0.9 : 0.0748
V_70_0.8 : 0.0752
V_55_0.8 : 0.0753
V_140_0.9 : 0.0756
V_35_0.9 : 0.0758
V_55_0.9 : 0.0758
H_60_0.9 : 0.0762
V_95_0.8 : 0.0763
V_60_0.8 : 0.0764
V_90_0.8 : 0.0766
H_155_0.9 : 0.0768
V_140_0.7 : 0.0769
V_65_0.8 : 0.077
V_165_0.9 : 0.0771
V_80_0.7 : 0.0772
V_45_0.9 : 0.0774
V_65_0.9 : 0.0776
H_185_0.9 : 0.0787
